,id,text
0,1616166703271919621,"Poor rich guys
 
#jackdorsey #elonmusk  #jeffbezos #timcook 

 #midjourney #midjourneyart #midjourneyai #midjourneyartwork #generativeart #aiart #aiartcommunity #aiartwork #aiartists #midjourneyaiart #midjourneycommunity #midjourneygallery  #midjourneyv4 https://t.co/6zGRvT9ye3"
1,1616166679318499331,"イーロン・マスクの速さに学べ パナソニック、電池100年目の脱皮 - 日経ビジネスオンライン / https://t.co/WI2rpqNsLj 
#elonmusk #イーロンマスク"
2,1616166677745393664,"Now that's huge! 

https://t.co/X6ixb2b40J

#scam #scamalert #btc #eth #amazon #scammers  #scamwatch #security #privacy #news #cmc #crypto #update #binance #elonmusk #tesla #call #stocks #fraud"
3,1616166598225575942,"RT @Diem_chat: Aleyna hic boyle gormediniz

--------------------
Doge coin kazanmak icin uygulamayı indir https://t.co/dskjGEtnuJ
---------…"
4,1616166578395172864,"RT @katanainu: New York 🇺🇸 Times Square 🚀
We are looking back to 26.12.2021!🙏

Our beautiful trailer on Times Square in New York, tell us i…"
5,1616166422417219586,"RT @DigonAgan: ADAMA ŞİİR YAZDIK
YİNE KURTARAMADIK
ALACAĞIN OLSUN #ElonMusk
😔😔😔😔
#EskiDostlar
#AslanlarMuhabbethane
#ReisinAslanları
#Alper…"
6,1616166368784814080,"RT @katanainu: Greetings from Japan 🇯🇵 
Japan has its Katana and what about you? 💪

We were 12/26/2021 on this beautiful billboard in Shinj…"
7,1616166282142924803,"Bugün açtığımız #copper #emtia işlemimiz
LOT: 1.00💸💸💸

TOPLAM KÂR: 1000 USD💸💸💸
#forex #forexsignals #forextrader #forextrading #forexmarket #forexsignal #forexturkey #dolar #BTC             #tesla #elonmusk https://t.co/EuRbOFsev1"
8,1616166130938449920,EM @elonmusk Musk Directed Tesla Autopilot Video Saying Car Drove Itself - Bloomberg https://t.co/j5G8huiHlu #ElonMusk #Tesla #SpaceX
9,1616166125024448512,EM @elonmusk Musk Directed Tesla Autopilot Video Saying Car Drove Itself - Bloomberg https://t.co/1IjIAxKZg6 #ElonMusk #Tesla #SpaceX
